name,url
academicjournal.ch,https://academicjournal.ch
academicpartnership.ch,https://academicpartnership.ch
academicsupport.ch,https://academicsupport.ch
aicollege.ch,https://aicollege.ch
aiinstitute.ch,https://aiinstitute.ch
apelq.com,https://apelq.com
apelq.vn,https://apelq.vn
apprenticeship.com.de,https://apprenticeship.com.de
apprenticeship.fr,https://apprenticeship.fr
apprenticeship.vn,https://apprenticeship.vn
apprenticeships.ch,https://apprenticeships.ch
biz.org.vn,https://biz.org.vn
bizschool.ch,https://bizschool.ch
bizschool.uk,https://bizschool.uk
campuses.ch,https://campuses.ch
colloquium.ch,https://colloquium.ch
colloquiums.net,https://colloquiums.net
course.microdegree.uk,https://course.microdegree.uk
croatia.edu.vn,https://croatia.edu.vn
dba.org.vn,https://dba.org.vn
dbaswiss.ch,https://dbaswiss.ch
diploma.ch,https://diploma.ch
diploma.edu.vn,https://diploma.edu.vn
doctorate.ch,https://doctorate.ch
doctorate.vn,https://doctorate.vn
doctoredu.ch,https://doctoredu.ch
doctoredu.vn,https://doctoredu.vn
education.org.vn,https://education.org.vn
edufund.ch,https://edufund.ch
eduschool.ch,https://eduschool.ch
elearning.las.ac,https://elearning.las.ac
epao.ch,https://epao.ch
euni.uk,https://euni.uk
euniversity.ch,https://euniversity.ch
euniversity.fr,https://euniversity.fr
goabroad.ch,https://goabroad.ch
healthcareschool.ch,https://healthcareschool.ch
hospi.ch,https://hospi.ch
hospitality.org.vn,https://hospitality.org.vn
hr.org.vn,https://hr.org.vn
huparis.edu.vn,https://huparis.edu.vn
imiswiss.ch,https://imiswiss.ch
it.org.vn,https://it.org.vn
las.ac,https://las.ac
las.org.vn,https://las.org.vn
lasuk.uk,https://lasuk.uk
lawinstitute.ch,https://lawinstitute.ch
lecturers.ch,https://lecturers.ch
library.com.de,https://library.com.de
lms.apelq.com,https://lms.apelq.com
lms.apprenticeship.com.de,https://lms.apprenticeship.com.de
lms.head.com.de,https://lms.head.com.de
lms.las.ac,https://lms.las.ac
lms.llc.ac,https://lms.llc.ac
lms.microdegree.uk,https://lms.microdegree.uk
lms.paris-u.fr,https://lms.paris-u.fr
lms.shortcourses.net,https://lms.shortcourses.net
lms.siminstitute.ch,https://lms.siminstitute.ch
lms.simiswiss.ch,https://lms.simiswiss.ch
lscm.ch,https://lscm.ch
lscm.uk,https://lscm.uk
lscm.vn,https://lscm.vn
malaysia.edu.vn,https://malaysia.edu.vn
masteredu.ch,https://masteredu.ch
masteredu.edu.vn,https://masteredu.edu.vn
masterhr.ch,https://masterhr.ch
masterhr.edu.vn,https://masterhr.edu.vn
mastertesol.com,https://mastertesol.com
mastertesol.edu.vn,https://mastertesol.edu.vn
mba.org.vn,https://mba.org.vn
mbaswiss.edu.vn,https://mbaswiss.edu.vn
mbaswiss.org,https://mbaswiss.org
miswiss.ch,https://miswiss.ch
miswiss.ch.tar.gz,https://miswiss.ch.tar.gz
miswiss.edu.vn,https://miswiss.edu.vn
miswiss.edu.vn.tar.gz,https://miswiss.edu.vn.tar.gz
must.edu.vn,https://must.edu.vn
nqf.ch,https://nqf.ch
nwiu.edu.vn,https://nwiu.edu.vn
onlineuniversity.fr,https://onlineuniversity.fr
ouni.ch,https://ouni.ch
partnership.com.de,https://partnership.com.de
petro.org.uk,https://petro.org.uk
polytechnic.ch,https://polytechnic.ch
portal.partnership.com.de,https://portal.partnership.com.de
preu.uk,https://preu.uk
psyschool.ch,https://psyschool.ch
psyschool.vn,https://psyschool.vn
qaqc.ch,https://qaqc.ch
qualification.simiswiss.ch,https://qualification.simiswiss.ch
qualification.simiswiss.ch.tar.gz,https://qualification.simiswiss.ch.tar.gz
qualification.simiswiss.ch_old,https://qualification.simiswiss.ch_old
researchers.ch,https://researchers.ch
rms.las.ac,https://rms.las.ac
rms.paris-u.fr,https://rms.paris-u.fr
rms.simiswiss.ch,https://rms.simiswiss.ch
seminar.org.uk,https://seminar.org.uk
shortcourse.ch,https://shortcourse.ch
shrm.uk,https://shrm.uk
simi.swiss,https://simi.swiss
siminstitute.ch,https://siminstitute.ch
simiswiss.es,https://simiswiss.es
smartuni.ch,https://smartuni.ch
smartuniversity.ch,https://smartuniversity.ch
studyabroader.com,https://studyabroader.com
swissedu.org,https://swissedu.org
tesol.org.vn,https://tesol.org.vn
topup.edu.vn,https://topup.edu.vn
topupdegree.ch,https://topupdegree.ch
tvet.ch,https://tvet.ch
ums.las.ac,https://ums.las.ac
ums.paris-u.fr,https://ums.paris-u.fr
ums.simiswiss.ch,https://ums.simiswiss.ch
ums.simiswiss.ch_old,https://ums.simiswiss.ch_old
ums7.simiswiss.ch,https://ums7.simiswiss.ch
vern.edu.vn,https://vern.edu.vn
wms.las.ac,https://wms.las.ac
wms.paris-u.fr,https://wms.paris-u.fr
wms.simiswiss.ch,https://wms.simiswiss.ch
